品质,味道,价格,分量,外观,物流,客服,粗粒度
"[0.007596098352223635, 0.44303280115127563, 0.549371063709259]","[0.007652128580957651, 0.4925399124622345, 0.49980801343917847]","[0.012807472608983517, 0.4479764699935913, 0.5392160415649414]","[0.012760521844029427, 0.41676896810531616, 0.5704705119132996]","[0.02167726308107376, 0.42172878980636597, 0.5565939545631409]","[0.00929305236786604, 0.4376928508281708, 0.5530140399932861]","[0.011276928707957268, 0.4302985966205597, 0.5584244728088379]","[0.2562054991722107, 0.558066725730896, 0.18572771549224854]"
"[0.13053542375564575, 0.3214153051376343, 0.54804927110672]","[0.31117692589759827, 0.27199724316596985, 0.4168258309364319]","[0.15466730296611786, 0.327142596244812, 0.5181901454925537]","[0.07175924628973007, 0.3366990387439728, 0.5915417075157166]","[0.2579207122325897, 0.3791827857494354, 0.3628964126110077]","[0.209501713514328, 0.2724209129810333, 0.5180773735046387]","[0.1435626894235611, 0.2802717089653015, 0.5761656165122986]","[0.3732736110687256, 0.5935224890708923, 0.03320392221212387]"
"[0.007793082855641842, 0.44715484976768494, 0.5450521111488342]","[0.013847742229700089, 0.4412226378917694, 0.5449296236038208]","[0.01035270094871521, 0.5681142210960388, 0.4215330183506012]","[0.011602570302784443, 0.4262022376060486, 0.5621951818466187]","[0.020613493397831917, 0.4335375726222992, 0.5458489060401917]","[0.009575581178069115, 0.4391479194164276, 0.5512765645980835]","[0.009230722673237324, 0.4341607987880707, 0.5566084384918213]","[0.14263352751731873, 0.5642145276069641, 0.2931518852710724]"
"[0.00897347740828991, 0.44408825039863586, 0.5469382405281067]","[0.01969170570373535, 0.4433704614639282, 0.5369378328323364]","[0.014843925833702087, 0.44111397862434387, 0.5440421104431152]","[0.01342730037868023, 0.42342185974121094, 0.5631508827209473]","[0.021258672699332237, 0.43305474519729614, 0.5456865429878235]","[0.011026130057871342, 0.43102431297302246, 0.5579494833946228]","[0.014038371853530407, 0.44015154242515564, 0.5458101034164429]","[0.2667646110057831, 0.5508679747581482, 0.18236739933490753]"
"[0.012677439488470554, 0.4487930238246918, 0.5385295748710632]","[0.014002167619764805, 0.4483409821987152, 0.537656843662262]","[0.02238600142300129, 0.44422584772109985, 0.5333881378173828]","[0.01733766496181488, 0.4161309599876404, 0.5665313601493835]","[0.029650511220097542, 0.42450428009033203, 0.5458452105522156]","[0.013906687498092651, 0.4397972524166107, 0.5462960004806519]","[0.015300222672522068, 0.4237314760684967, 0.5609682202339172]","[0.2906942367553711, 0.5556053519248962, 0.15370044112205505]"
"[0.007070093881338835, 0.4503207504749298, 0.5426092147827148]","[0.011235952377319336, 0.44632115960121155, 0.5424428582191467]","[0.01625254936516285, 0.43863236904144287, 0.5451151728630066]","[0.009813089855015278, 0.4172384440898895, 0.5729484558105469]","[0.017712201923131943, 0.4325215518474579, 0.5497663021087646]","[0.0092612374573946, 0.4356502592563629, 0.555088460445404]","[0.011235359124839306, 0.43118417263031006, 0.5575804710388184]","[0.17595386505126953, 0.5514744520187378, 0.2725716829299927]"
"[0.019743774086236954, 0.433740496635437, 0.5465157628059387]","[0.01849794201552868, 0.4386034309864044, 0.5428985357284546]","[0.04810282215476036, 0.42133376002311707, 0.5305633544921875]","[0.027951126918196678, 0.40870872139930725, 0.5633401274681091]","[0.043570611625909805, 0.40791556239128113, 0.5485138893127441]","[0.03238856419920921, 0.41961050033569336, 0.5480008721351624]","[0.03227347880601883, 0.4011763334274292, 0.5665501356124878]","[0.4388163685798645, 0.5262799859046936, 0.034903597086668015]"
"[0.009169772267341614, 0.44634363055229187, 0.5444866418838501]","[0.013991455547511578, 0.43968144059181213, 0.5463271141052246]","[0.017997510731220245, 0.4451880156993866, 0.5368145108222961]","[0.016890836879611015, 0.4256407916545868, 0.5574683547019958]","[0.02920515462756157, 0.42697760462760925, 0.5438172221183777]","[0.020367836579680443, 0.43362879753112793, 0.5460032820701599]","[0.015577064827084541, 0.4273313581943512, 0.5570915937423706]","[0.26606786251068115, 0.5383850336074829, 0.1955471783876419]"
"[0.003701961599290371, 0.5783444046974182, 0.4179536700248718]","[0.004946934059262276, 0.510768711566925, 0.48428431153297424]","[0.008432638831436634, 0.5639662742614746, 0.42760103940963745]","[0.003222276456654072, 0.42951130867004395, 0.5672664642333984]","[0.012925135903060436, 0.557564914226532, 0.4295099377632141]","[0.006542981136590242, 0.5601159334182739, 0.4333411455154419]","[0.003984448499977589, 0.5654869675636292, 0.43052852153778076]","[0.023667894303798676, 0.537670373916626, 0.43866172432899475]"
"[0.006566926836967468, 0.5697954893112183, 0.4236375689506531]","[0.003889994230121374, 0.49627605080604553, 0.49983400106430054]","[0.008086162619292736, 0.5484646558761597, 0.4434491693973541]","[0.004542043898254633, 0.44219642877578735, 0.5532614588737488]","[0.008039087988436222, 0.4515834152698517, 0.5403775572776794]","[0.003178258892148733, 0.4406697452068329, 0.5561520457267761]","[0.005647891201078892, 0.44444647431373596, 0.5499056577682495]","[0.05282812938094139, 0.5624064207077026, 0.3847654461860657]"
"[0.0034155664034187794, 0.563785970211029, 0.43279850482940674]","[0.0034570139832794666, 0.4793037176132202, 0.5172393321990967]","[0.011775174178183079, 0.45485538244247437, 0.5333694815635681]","[0.0062448931857943535, 0.4220258891582489, 0.5717292428016663]","[0.013834389857947826, 0.5492503046989441, 0.4369153380393982]","[0.004582843277603388, 0.44521260261535645, 0.5502045750617981]","[0.004733731970191002, 0.4456805884838104, 0.5495857000350952]","[0.05569978058338165, 0.551421582698822, 0.39287859201431274]"
"[0.008543519303202629, 0.5709782242774963, 0.42047831416130066]","[0.009394342079758644, 0.46102970838546753, 0.5295760035514832]","[0.012665040791034698, 0.43105465173721313, 0.5562803149223328]","[0.0053588151931762695, 0.42713457345962524, 0.5675066113471985]","[0.013667698949575424, 0.43495243787765503, 0.5513798594474792]","[0.012456480413675308, 0.5013284683227539, 0.48621508479118347]","[0.010165581479668617, 0.4433923661708832, 0.5464420318603516]","[0.059873439371585846, 0.5482120513916016, 0.3919145464897156]"
"[0.004143907222896814, 0.5618144273757935, 0.4340416491031647]","[0.005996723659336567, 0.4672355353832245, 0.5267676711082458]","[0.011434057727456093, 0.554823637008667, 0.43374234437942505]","[0.004625776316970587, 0.42926692962646484, 0.5661072731018066]","[0.014710121788084507, 0.4407739043235779, 0.5445159673690796]","[0.004259703680872917, 0.4394790828227997, 0.5562611818313599]","[0.005163391120731831, 0.4396640360355377, 0.5551725029945374]","[0.06717606633901596, 0.5599686503410339, 0.37285521626472473]"
"[0.0022307871840894222, 0.5683223605155945, 0.42944684624671936]","[0.0037764261942356825, 0.46939733624458313, 0.5268262624740601]","[0.008284971117973328, 0.5229805707931519, 0.4687345027923584]","[0.0036472834181040525, 0.42653688788414, 0.5698158144950867]","[0.0230211541056633, 0.5674278140068054, 0.40955105423927307]","[0.006023905239999294, 0.5502620935440063, 0.4437139928340912]","[0.0034522886853665113, 0.5354337096214294, 0.46111398935317993]","[0.04287246614694595, 0.5689635276794434, 0.38816407322883606]"
"[0.01302329357713461, 0.5764479041099548, 0.4105288088321686]","[0.007674230262637138, 0.4573870599269867, 0.5349386930465698]","[0.00964740663766861, 0.43049341440200806, 0.5598591566085815]","[0.009341210126876831, 0.4311791956424713, 0.5594795942306519]","[0.01758805848658085, 0.4374051094055176, 0.5450067520141602]","[0.0054168906062841415, 0.445753276348114, 0.5488298535346985]","[0.007380547933280468, 0.4334496557712555, 0.5591697692871094]","[0.08094818890094757, 0.5543102025985718, 0.36474156379699707]"
"[0.018707482144236565, 0.5164661407470703, 0.46482640504837036]","[0.012910660356283188, 0.4521417021751404, 0.5349475741386414]","[0.014849034138023853, 0.44441232085227966, 0.5407386422157288]","[0.009394695982336998, 0.420682817697525, 0.5699225664138794]","[0.02256409451365471, 0.42547300457954407, 0.5519629120826721]","[0.013555610552430153, 0.4448815584182739, 0.5415627956390381]","[0.013055991381406784, 0.44314321875572205, 0.5438007712364197]","[0.23287060856819153, 0.5554416179656982, 0.21168772876262665]"
"[0.007239502388983965, 0.43591612577438354, 0.5568444132804871]","[0.007274114992469549, 0.46113017201423645, 0.5315957069396973]","[0.014015437103807926, 0.5739291310310364, 0.41205546259880066]","[0.00759838055819273, 0.4185589551925659, 0.5738425850868225]","[0.013050819747149944, 0.43588775396347046, 0.5510613918304443]","[0.006024723872542381, 0.43395939469337463, 0.5600159168243408]","[0.007045228499919176, 0.4278515875339508, 0.5651032328605652]","[0.09973308444023132, 0.5642307996749878, 0.3360361158847809]"
"[0.0043677277863025665, 0.4703870713710785, 0.525245189666748]","[0.007521773222833872, 0.4727891683578491, 0.5196890830993652]","[0.025283919647336006, 0.45032984018325806, 0.5243862271308899]","[0.006909401621669531, 0.4284728169441223, 0.5646177530288696]","[0.024774281308054924, 0.5365366339683533, 0.43868908286094666]","[0.009061580523848534, 0.42946863174438477, 0.5614697933197021]","[0.00793678779155016, 0.5213249921798706, 0.4707382917404175]","[0.05557482689619064, 0.5373266339302063, 0.40709859132766724]"
"[0.004315678495913744, 0.44587430357933044, 0.549809992313385]","[0.0070252432487905025, 0.46768680214881897, 0.5252880454063416]","[0.008221268653869629, 0.47059372067451477, 0.521185040473938]","[0.005982298869639635, 0.4372483193874359, 0.5567693710327148]","[0.0183359794318676, 0.4352422058582306, 0.5464217662811279]","[0.005538285244256258, 0.44563260674476624, 0.5488291382789612]","[0.005912561900913715, 0.4280925989151001, 0.5659948587417603]","[0.09703122824430466, 0.5653397440910339, 0.3376290500164032]"
"[0.010577764362096786, 0.4501465857028961, 0.5392756462097168]","[0.04365331307053566, 0.575404167175293, 0.38094252347946167]","[0.011997181922197342, 0.4346981942653656, 0.5533046126365662]","[0.01925634779036045, 0.4305424392223358, 0.5502011775970459]","[0.01916307397186756, 0.43453359603881836, 0.5463033318519592]","[0.014885297045111656, 0.43191009759902954, 0.5532045364379883]","[0.01071108877658844, 0.43912237882614136, 0.5501664280891418]","[0.12442342191934586, 0.5590192079544067, 0.316557377576828]"
"[0.004011926706880331, 0.4436107575893402, 0.5523772835731506]","[0.007740720175206661, 0.45610663294792175, 0.5361526012420654]","[0.0088390177115798, 0.4726112186908722, 0.5185497999191284]","[0.006962731014937162, 0.42853060364723206, 0.5645067095756531]","[0.026952223852276802, 0.5479586720466614, 0.42508912086486816]","[0.009839787147939205, 0.4242963194847107, 0.565863847732544]","[0.006408653687685728, 0.5068836212158203, 0.48670774698257446]","[0.1282174289226532, 0.567448616027832, 0.3043339252471924]"
"[0.0065737091936171055, 0.4493330717086792, 0.5440931916236877]","[0.010051170364022255, 0.45779362320899963, 0.5321552157402039]","[0.013461694121360779, 0.5107147097587585, 0.4758235514163971]","[0.009296192787587643, 0.41366180777549744, 0.5770420432090759]","[0.01368425041437149, 0.4369896352291107, 0.5493261218070984]","[0.006622768007218838, 0.43336907029151917, 0.56000816822052]","[0.007962672039866447, 0.42962446808815, 0.5624128580093384]","[0.12387587875127792, 0.5529019236564636, 0.32322221994400024]"
"[0.01054967101663351, 0.4473809003829956, 0.5420693755149841]","[0.01742795668542385, 0.45180657505989075, 0.5307654142379761]","[0.015130669809877872, 0.4748353958129883, 0.510033905506134]","[0.02222934179008007, 0.42630261182785034, 0.551468014717102]","[0.016264745965600014, 0.4279664158821106, 0.5557688474655151]","[0.020707866176962852, 0.43805453181266785, 0.5412375926971436]","[0.015939002856612206, 0.4404902160167694, 0.5435708165168762]","[0.2558477222919464, 0.53387850522995, 0.21027368307113647]"
"[0.06824478507041931, 0.4188383221626282, 0.5129168033599854]","[0.022713162004947662, 0.45450708270072937, 0.5227797627449036]","[0.018523182719945908, 0.44880473613739014, 0.5326720476150513]","[0.023442722856998444, 0.4177282750606537, 0.5588289499282837]","[0.04445836320519447, 0.4041678011417389, 0.5513738393783569]","[0.026532378047704697, 0.42504188418388367, 0.5484257340431213]","[0.027939943596720695, 0.4162367284297943, 0.5558233261108398]","[0.25337061285972595, 0.5571017265319824, 0.18952764570713043]"
"[0.0037717679515480995, 0.45345813035964966, 0.5427700877189636]","[0.004768854938447475, 0.4690859019756317, 0.5261452794075012]","[0.019952872768044472, 0.4481050372123718, 0.5319421291351318]","[0.005145416595041752, 0.44798097014427185, 0.5468736290931702]","[0.026487581431865692, 0.5701031684875488, 0.40340927243232727]","[0.005527528002858162, 0.4415714740753174, 0.552901029586792]","[0.005213784519582987, 0.4577099680900574, 0.5370763540267944]","[0.07456864416599274, 0.5584754943847656, 0.36695587635040283]"
"[0.01853485032916069, 0.428999662399292, 0.5524654984474182]","[0.01767066866159439, 0.44584420323371887, 0.5364851355552673]","[0.019833792001008987, 0.4413989186286926, 0.5387672781944275]","[0.009908730164170265, 0.44159799814224243, 0.5484932065010071]","[0.023368386551737785, 0.4256974458694458, 0.5509341359138489]","[0.018308410421013832, 0.4271851181983948, 0.5545064806938171]","[0.022285370156168938, 0.43420130014419556, 0.543513298034668]","[0.30339154601097107, 0.5258697271347046, 0.17073874175548553]"
"[0.008153845556080341, 0.446371853351593, 0.5454742908477783]","[0.0134756900370121, 0.454461008310318, 0.5320633053779602]","[0.017756003886461258, 0.44243577122688293, 0.5398082137107849]","[0.014728282578289509, 0.4206385314464569, 0.5646331906318665]","[0.024841738864779472, 0.4201163053512573, 0.5550419688224792]","[0.013779518194496632, 0.436265230178833, 0.5499552488327026]","[0.013504710979759693, 0.4289023280143738, 0.5575929284095764]","[0.23168334364891052, 0.5542938113212585, 0.2140229195356369]"
"[0.1879325956106186, 0.2968703806400299, 0.5151969790458679]","[0.1407654583454132, 0.3235992193222046, 0.5356353521347046]","[0.13033269345760345, 0.3375639319419861, 0.5321033596992493]","[0.13132831454277039, 0.3294909596443176, 0.5391807556152344]","[0.10552028566598892, 0.34525206685066223, 0.5492276549339294]","[0.13480030000209808, 0.33746767044067383, 0.5277320146560669]","[0.13606202602386475, 0.29400020837783813, 0.5699377059936523]","[0.47714847326278687, 0.5069594979286194, 0.015891974791884422]"
"[0.012417173013091087, 0.5621188282966614, 0.4254639744758606]","[0.013617643155157566, 0.4510725438594818, 0.5353098511695862]","[0.02473047934472561, 0.4503724277019501, 0.5248970985412598]","[0.010071400552988052, 0.4355330467224121, 0.5543956160545349]","[0.02940128557384014, 0.4227302372455597, 0.5478684902191162]","[0.010470118373632431, 0.4460451304912567, 0.5434846878051758]","[0.014297143556177616, 0.4202553927898407, 0.5654473900794983]","[0.1378166228532791, 0.5565887093544006, 0.30559468269348145]"
"[0.02484952099621296, 0.44803303480148315, 0.5271174907684326]","[0.021398456767201424, 0.4499737322330475, 0.5286277532577515]","[0.02364525943994522, 0.42224904894828796, 0.5541057586669922]","[0.03315543010830879, 0.4138745367527008, 0.5529699921607971]","[0.01433122344315052, 0.4358230233192444, 0.549845814704895]","[0.04414648562669754, 0.5465347766876221, 0.4093187153339386]","[0.018533581867814064, 0.4011482298374176, 0.5803181529045105]","[0.1822977066040039, 0.5743735432624817, 0.2433287352323532]"
"[0.21202297508716583, 0.2319827377796173, 0.5559942722320557]","[0.1119093969464302, 0.29392969608306885, 0.5941608548164368]","[0.2400505393743515, 0.2521427273750305, 0.5078067779541016]","[0.11252230405807495, 0.29596665501594543, 0.591511070728302]","[0.05940587446093559, 0.37473443150520325, 0.5658596754074097]","[0.18499942123889923, 0.25034117698669434, 0.5646594166755676]","[0.2414708137512207, 0.21752361953258514, 0.541005551815033]","[0.5704053640365601, 0.4118010699748993, 0.017793558537960052]"
"[0.007182799745351076, 0.4578458368778229, 0.5349713563919067]","[0.014198611490428448, 0.4517608880996704, 0.5340404510498047]","[0.017033865675330162, 0.4646616578102112, 0.5183045268058777]","[0.010429100133478642, 0.4258973002433777, 0.5636735558509827]","[0.02392585389316082, 0.4282456338405609, 0.5478284955024719]","[0.0115426704287529, 0.42959487438201904, 0.5588624477386475]","[0.013250361196696758, 0.4299345016479492, 0.5568151473999023]","[0.15689963102340698, 0.5526168942451477, 0.2904835343360901]"
"[0.007528882473707199, 0.5723186731338501, 0.4201524257659912]","[0.01110226009041071, 0.4513551890850067, 0.5375425815582275]","[0.012958243489265442, 0.4535292983055115, 0.5335124731063843]","[0.012562509626150131, 0.4231336712837219, 0.5643038153648376]","[0.023382775485515594, 0.42168742418289185, 0.554929792881012]","[0.007299511227756739, 0.44238850474357605, 0.5503120422363281]","[0.009152495302259922, 0.4394693076610565, 0.5513781905174255]","[0.15120914578437805, 0.5520020127296448, 0.2967887818813324]"
"[0.006292267236858606, 0.4483882784843445, 0.5453194975852966]","[0.009407756850123405, 0.4452916979789734, 0.5453005433082581]","[0.009820237755775452, 0.5350247025489807, 0.45515507459640503]","[0.008657239377498627, 0.43407073616981506, 0.5572720170021057]","[0.02164195477962494, 0.4324418306350708, 0.5459162592887878]","[0.0092252716422081, 0.4412440359592438, 0.5495307445526123]","[0.009889439679682255, 0.43479689955711365, 0.5553137063980103]","[0.1780608892440796, 0.5616804957389832, 0.26025864481925964]"
"[0.018509695306420326, 0.43577319383621216, 0.545717179775238]","[0.03148273378610611, 0.43160852789878845, 0.5369088053703308]","[0.037120603024959564, 0.4378206133842468, 0.5250587463378906]","[0.027230186387896538, 0.4035802185535431, 0.5691896080970764]","[0.0356605164706707, 0.41428837180137634, 0.5500511527061462]","[0.029474474489688873, 0.4233151972293854, 0.5472102761268616]","[0.024940961971879005, 0.42800989747047424, 0.5470490455627441]","[0.215350940823555, 0.5576249957084656, 0.22702401876449585]"
"[0.01845705509185791, 0.4356822669506073, 0.5458607077598572]","[0.016272621229290962, 0.4529752731323242, 0.5307521224021912]","[0.027619484812021255, 0.4337467849254608, 0.5386337041854858]","[0.027075957506895065, 0.4070424735546112, 0.5658815503120422]","[0.028008904308080673, 0.42699283361434937, 0.5449982285499573]","[0.019143909215927124, 0.4339942932128906, 0.5468617677688599]","[0.0171884186565876, 0.42451781034469604, 0.5582937598228455]","[0.3672916889190674, 0.5814362168312073, 0.05127207562327385]"
"[0.008523375727236271, 0.4457276463508606, 0.5457489490509033]","[0.02074824646115303, 0.45571625232696533, 0.5235355496406555]","[0.053797390311956406, 0.5559895634651184, 0.39021313190460205]","[0.013645324856042862, 0.40849268436431885, 0.5778619647026062]","[0.019084766507148743, 0.42942318320274353, 0.5514920949935913]","[0.01503620482981205, 0.42803406715393066, 0.5569297075271606]","[0.014717139303684235, 0.42005330324172974, 0.5652295351028442]","[0.18763576447963715, 0.5588247179985046, 0.2535395324230194]"
"[0.007592246867716312, 0.4362654685974121, 0.5561423301696777]","[0.01556866429746151, 0.5613126754760742, 0.42311862111091614]","[0.008512522093951702, 0.5490015745162964, 0.4424859285354614]","[0.010383298620581627, 0.4160747528076172, 0.5735419392585754]","[0.012907128781080246, 0.45328953862190247, 0.5338032841682434]","[0.007158074527978897, 0.4425237476825714, 0.55031818151474]","[0.004523551557213068, 0.4387112557888031, 0.5567651987075806]","[0.09845662862062454, 0.563944935798645, 0.3375983238220215]"
"[0.027553405612707138, 0.4184194505214691, 0.5540271997451782]","[0.04244771972298622, 0.4226037263870239, 0.5349485874176025]","[0.07763805240392685, 0.38063421845436096, 0.5417277216911316]","[0.42321085929870605, 0.29463717341423035, 0.28215205669403076]","[0.04867720231413841, 0.3856998682022095, 0.5656229257583618]","[0.0526164248585701, 0.39633455872535706, 0.551048994064331]","[0.08443377912044525, 0.33812034130096436, 0.577445924282074]","[0.48290398716926575, 0.49782633781433105, 0.01926957629621029]"
"[0.021239321678876877, 0.43196603655815125, 0.546794593334198]","[0.016397753730416298, 0.4389343559741974, 0.5446678996086121]","[0.037132591009140015, 0.41485893726348877, 0.5480085015296936]","[0.021116461604833603, 0.4137224853038788, 0.5651611089706421]","[0.025523502379655838, 0.4177705943584442, 0.5567059516906738]","[0.019184015691280365, 0.4228461682796478, 0.5579697489738464]","[0.022415902465581894, 0.4098474085330963, 0.5677366852760315]","[0.30085667967796326, 0.5667775273323059, 0.1323658525943756]"
"[0.05501454696059227, 0.4280093312263489, 0.5169760584831238]","[0.06752490997314453, 0.4119633436203003, 0.5205118060112]","[0.02093256264925003, 0.41312238574028015, 0.5659450888633728]","[0.13494116067886353, 0.4769327640533447, 0.38812607526779175]","[0.026221059262752533, 0.41611817479133606, 0.5576608180999756]","[0.023011384531855583, 0.5308200120925903, 0.4461686909198761]","[0.028214503079652786, 0.507469892501831, 0.46431559324264526]","[0.08212074637413025, 0.47646909952163696, 0.4414101541042328]"
"[0.002560363383963704, 0.453908771276474, 0.5435308814048767]","[0.018198000267148018, 0.585992693901062, 0.3958092927932739]","[0.02062937244772911, 0.4392487108707428, 0.5401219725608826]","[0.006020456552505493, 0.43391817808151245, 0.5600613355636597]","[0.013671222142875195, 0.4420890212059021, 0.5442397594451904]","[0.005526146851480007, 0.4488518238067627, 0.5456221103668213]","[0.006569989491254091, 0.5635915398597717, 0.4298384487628937]","[0.03473648801445961, 0.5646963119506836, 0.4005671441555023]"
"[0.0037541836500167847, 0.45750442147254944, 0.538741409778595]","[0.0042957435362041, 0.4680599570274353, 0.5276442766189575]","[0.03138500079512596, 0.5335315465927124, 0.43508344888687134]","[0.0037291564512997866, 0.41897401213645935, 0.5772967338562012]","[0.010006539523601532, 0.446217805147171, 0.5437756180763245]","[0.006165008060634136, 0.44633105397224426, 0.5475039482116699]","[0.00996008887887001, 0.5954200029373169, 0.3946199119091034]","[0.07518201321363449, 0.544179379940033, 0.38063856959342957]"
"[0.016939109191298485, 0.5760179758071899, 0.407042920589447]","[0.017757274210453033, 0.4596070349216461, 0.5226356983184814]","[0.05086280778050423, 0.4529842138290405, 0.4961530268192291]","[0.009943175129592419, 0.4096335768699646, 0.5804232358932495]","[0.02400953508913517, 0.42507708072662354, 0.5509134531021118]","[0.010884280316531658, 0.42923423647880554, 0.5598815083503723]","[0.017474602907896042, 0.5546769499778748, 0.4278484284877777]","[0.06958401203155518, 0.5494686961174011, 0.3809472322463989]"
"[0.010029778815805912, 0.46388691663742065, 0.5260833501815796]","[0.009833533316850662, 0.45751726627349854, 0.5326490998268127]","[0.014705519191920757, 0.451698899269104, 0.533595621585846]","[0.005883341189473867, 0.4233294427394867, 0.5707871913909912]","[0.017181387171149254, 0.4312916696071625, 0.5515269041061401]","[0.006769062485545874, 0.441599041223526, 0.5516319274902344]","[0.0074821277521550655, 0.43331512808799744, 0.5592027306556702]","[0.15301550924777985, 0.5645502209663391, 0.28243428468704224]"
"[0.009194591082632542, 0.46063196659088135, 0.5301734209060669]","[0.009733518585562706, 0.5612003207206726, 0.42906618118286133]","[0.017939506098628044, 0.4497638940811157, 0.5322966575622559]","[0.010196404531598091, 0.419793039560318, 0.5700105428695679]","[0.01704505644738674, 0.43693608045578003, 0.5460188388824463]","[0.00762184476479888, 0.42900827527046204, 0.563369870185852]","[0.008721175603568554, 0.4356614053249359, 0.5556174516677856]","[0.06755277514457703, 0.5675369501113892, 0.3649102747440338]"
"[0.004259968176484108, 0.4521105885505676, 0.5436294674873352]","[0.008839663118124008, 0.5937378406524658, 0.3974224627017975]","[0.010977417230606079, 0.45662233233451843, 0.5324003100395203]","[0.00698098773136735, 0.42841440439224243, 0.564604640007019]","[0.008392184972763062, 0.4384412467479706, 0.5531665682792664]","[0.0032201618887484074, 0.4338770806789398, 0.5629028081893921]","[0.0037528970278799534, 0.4529152810573578, 0.5433318018913269]","[0.04466187208890915, 0.5540578365325928, 0.4012802541255951]"
"[0.004705396015197039, 0.5690788626670837, 0.42621567845344543]","[0.007437798194587231, 0.45922333002090454, 0.5333388447761536]","[0.011698372662067413, 0.4367147386074066, 0.551586925983429]","[0.0060842460952699184, 0.4435191750526428, 0.5503965616226196]","[0.01343038585036993, 0.43164366483688354, 0.5549259185791016]","[0.006307955365628004, 0.45071732997894287, 0.5429747700691223]","[0.007729232776910067, 0.43356043100357056, 0.5587103366851807]","[0.10744699090719223, 0.5618896484375, 0.3306633234024048]"
"[0.02631082385778427, 0.5383961796760559, 0.4352929890155792]","[0.04679032787680626, 0.560223400592804, 0.3929862976074219]","[0.03791347146034241, 0.5715255737304688, 0.39056089520454407]","[0.03002234734594822, 0.40794408321380615, 0.5620335340499878]","[0.032321032136678696, 0.4159673750400543, 0.5517116785049438]","[0.011633777059614658, 0.4308261573314667, 0.5575401186943054]","[0.012244031764566898, 0.3999507427215576, 0.5878052115440369]","[0.05850577354431152, 0.54698646068573, 0.3945077955722809]"
"[0.00598973548039794, 0.5749784708023071, 0.4190317988395691]","[0.006831745151430368, 0.4568382203578949, 0.5363301038742065]","[0.012185878120362759, 0.545413613319397, 0.4424004852771759]","[0.007290847599506378, 0.42053431272506714, 0.5721749067306519]","[0.013858337886631489, 0.543893575668335, 0.44224801659584045]","[0.005925758276134729, 0.441588431596756, 0.5524857640266418]","[0.005521681625396013, 0.4396217167377472, 0.5548565983772278]","[0.11383940279483795, 0.5627314448356628, 0.323429137468338]"
"[0.009267320856451988, 0.5681583285331726, 0.4225742816925049]","[0.009506097063422203, 0.4650590121746063, 0.5254349112510681]","[0.01676366478204727, 0.5336236953735352, 0.44961270689964294]","[0.006103092338889837, 0.4348815977573395, 0.5590152740478516]","[0.012441995553672314, 0.4397597908973694, 0.5477982759475708]","[0.009753053076565266, 0.43468809127807617, 0.5555588603019714]","[0.010844625532627106, 0.42794889211654663, 0.5612064599990845]","[0.08982716500759125, 0.5654255151748657, 0.34474730491638184]"
"[0.005644192453473806, 0.45769327878952026, 0.5366625189781189]","[0.014970393851399422, 0.454642117023468, 0.5303874611854553]","[0.014744964428246021, 0.5644588470458984, 0.4207962155342102]","[0.010815762914717197, 0.42283129692077637, 0.5663529634475708]","[0.019626744091510773, 0.43044915795326233, 0.5499241352081299]","[0.009073649533092976, 0.4375021159648895, 0.5534241795539856]","[0.008596335537731647, 0.4262670576572418, 0.5651365518569946]","[0.07600071281194687, 0.5541924238204956, 0.3698068857192993]"
"[0.18505577743053436, 0.27296558022499084, 0.5419785976409912]","[0.18164753913879395, 0.2792005240917206, 0.5391519665718079]","[0.14417174458503723, 0.2724020183086395, 0.5834262371063232]","[0.1307520866394043, 0.316089004278183, 0.5531589388847351]","[0.22286996245384216, 0.2585776150226593, 0.5185524821281433]","[0.16826625168323517, 0.29608479142189026, 0.5356490015983582]","[0.21793082356452942, 0.2338818609714508, 0.5481873154640198]","[0.54643315076828, 0.44566628336906433, 0.007900643162429333]"
"[0.003573352238163352, 0.4485739767551422, 0.547852635383606]","[0.02585027553141117, 0.5793637037277222, 0.3947860598564148]","[0.01332096103578806, 0.4482656419277191, 0.538413405418396]","[0.00894138216972351, 0.42209479212760925, 0.568963885307312]","[0.014901446178555489, 0.4388616383075714, 0.5462368726730347]","[0.0060760765336453915, 0.42329803109169006, 0.570625901222229]","[0.004212347790598869, 0.45412763953208923, 0.5416600108146667]","[0.07478159666061401, 0.5430746078491211, 0.3821437656879425]"
"[0.009743942879140377, 0.4388957619667053, 0.5513603687286377]","[0.020263854414224625, 0.5821110010147095, 0.397625207901001]","[0.02950260415673256, 0.42664435505867004, 0.5438530445098877]","[0.015680387616157532, 0.4216858148574829, 0.5626338124275208]","[0.013204135000705719, 0.43612200021743774, 0.5506739020347595]","[0.006117609795182943, 0.4352611303329468, 0.5586212873458862]","[0.005877009127289057, 0.4394811689853668, 0.554641842842102]","[0.0884748101234436, 0.5585604310035706, 0.35296472907066345]"
"[0.011219002306461334, 0.5814064741134644, 0.4073745012283325]","[0.004647674970328808, 0.4484180808067322, 0.5469342470169067]","[0.03202502429485321, 0.4663942754268646, 0.5015807151794434]","[0.004736296366900206, 0.4446777105331421, 0.5505860447883606]","[0.024142343550920486, 0.431397020816803, 0.5444605946540833]","[0.006572135724127293, 0.4714108109474182, 0.5220170021057129]","[0.010667908005416393, 0.5003449320793152, 0.48898717761039734]","[0.08270665258169174, 0.5333348512649536, 0.38395848870277405]"
