分词,评分,评论时间
价格 便宜 实惠 发货 速度 很快 物流 很快 推荐 购买 味道 不错 包装 很 好 大 味 美 还 配 开柚器 分量 足 很 新鲜 京东 送货 很 不错 赞,5,2023-10-16 12:32:17
好吃 东西 质量 不错 不错,5,2023-11-09 19:31:54
很 甜 不 踩 雷 推荐,5,2023-11-09 19:29:24
超级 好 希望 优惠 多多,5,2023-11-09 19:27:11
口感 不 太 好 酸 没有 水分 特别 特别 特别 好 没有 破损 地方 外观 好看 好评 第一 次 网上 购买 看 评价 才 买 质量 还 不错 很 便宜 需要 朋友 放心 购买,5,2023-11-09 19:24:52
很 好吃 皮 不 算 厚 性价比 非常 高 活动 大概 块 钱 水果 店 便宜 质量 好 不少 柚子 耐放 吃 后面 越 甜 满意,5,2023-11-09 19:21:28
柚子 个头 挺 大 皮 很 薄 柚子 水分 足 甜度 刚刚 好 经常 买 品质 保证 京东 自营 购买 方便 快捷 直接 送货 家 价格 很 优惠,5,2023-11-09 19:20:43
老 好吃 太绝,5,2023-11-09 19:19:32
好好 吃 好吃,5,2023-11-09 19:16:33
秒杀 买 东西 不错 价格 实惠 物流 很快,5,2023-11-09 19:15:27
京东 真 太 好 买 东西 质量 都 超级 好 很 喜欢 物美价廉 给力 无限 免邮 简直 爱 客服 很 好 售 后 做 很 好 快递 小哥 很 好 简直 无可挑剔 大 爱 京 东大 爱绝 绝子 喜欢 京东 喜欢 京东 购物 真的 很 开心 喜欢 这种 开心 购物 以后 还要 买 买 买 买 买 买 哈哈哈 哈哈哈,5,2023-11-09 19:14:33
红柚 一半 白色 没 水分 不 甜 品质 不 佳 还 直接 吃 白柚,5,2023-11-09 19:11:10
柚子肉 很多 呀皮 薄,5,2023-11-09 18:53:44
好吃 纯甜汁 水,5,2023-11-09 18:47:31
柚子 超甜 喜欢,5,2023-11-09 18:44:55
总体 品质 不错 支持 回购,5,2023-11-09 18:34:26
大小 有点 小 不 很 红 好在 不 酸,5,2023-11-09 18:15:53
吃 完 想 起来 还 没 评价 只好 偷 图 表示 诚意 柚子 水份 足足 超级 甜甜 感觉 点点 酸味道 反正 好吃 大皮 还 很 薄 很 薄 值得 再 购买,5,2023-11-09 18:12:33
好吃 个头 大 皮 薄,5,2023-11-09 17:55:51
不错 挺 好吃 水分 很 足 买 两 箱,5,2023-11-09 17:15:44
太 酸 稍微 点 干,1,2023-11-09 17:06:58
刚 收到 货 打开 香甜 可口 太 好吃 果子汁 水 果肉 饱满 皮 薄 箱子 都 很 新鲜 没有 坏果 个头 都 很 大 包装 完好无损 切 最 大 尝尝 鲜嫩 多汁 简直 太 美味 重要 很 新鲜 分 很 足 个头 很 大 很 均匀 出乎预料 好,5,2023-10-15 09:53:15
柚子 想象 中 好 柚子 大小皮 非常 薄 手 轻松 剥 出来 剥 最 小 皮薄 剥开 很 大 果肉 细腻 微甜汁 水 丰富 不 酸口感 非常 好吃 完 还 会 继续 回购,5,2023-10-12 08:44:47
个头 挺 大 摸 皮 很 薄 看 起来 挺 新鲜 天 不 知道 甜 不 甜 价格 挺 实惠 超市 卖 斤 挺 贵 京东 买 下来 更 划算,5,2023-10-11 12:38:21
东西 质量 非常 好 卖家 描述 完全 一致 非常 满意 真的 很 喜欢 完全 超出 期望值 发货 速度 非常 快 包装 非常 仔细 严实 物流 公司 服务 态度 很 好 运送 速度 很快 很 满意 次 购物,5,2023-10-31 11:04:28
件 商品 包装 非常 精美 送礼 好 选择 件 商品 使用 方法 非常 简单 非常 方便 件 商品 配件 非常 齐全 使用 起来 非常 方便 件 商品 性价比 非常 高 非常 值得 购买 件 商品 售后服务 非常 好 非常 满意 件 商品 送货 速度 非常 快 非常 惊喜 件 商品 质量 非常 稳定 都 很 好 件 商品 功能 非常 强大 非常 实用 件 商品 材质 非常 好 非常 耐用 件 商品 颜色 非常 漂亮 非常 符合 喜好 件 商品 尺码 非常 准确 非常 合适 件 商品 重量 非常 轻 非常 方便 携带 件 商品 使用 效果 非常 好 非常 满意 件 商品 性能 非常 稳定 非常 可靠 件 商品 品质 非常 好 非常 值得 信赖 件 商品 外观 非常 精致 非常 高档,5,2023-10-23 16:30:00
快递 物流 非常 快 包装 很 不错 看 很 质感 重量 皮薄 肉 鲜美 汁 味道 不错 没有 甜 点 酸 总体 非常 不错,5,2023-11-08 22:48:50
红心柚 子 收到 包装 挺 好 表皮 光滑 闻 很 好吃 剥开 皮 薄 肉 皮 薄 水分 越 吃 越 好吃 看 特别 食欲 口 咬 下去 满满的 汁水 香味 特别 浓郁 很 不错 很 饱满 皮 很 薄 口 下去 水分 很多 水份 多多 还 会 光顾 想 吃 柚子亲 不要 犹豫 快快 下手,5,2023-11-08 22:39:15
柚子 非常 好 买 两 次 只 皮厚 还 酸 总 挺 好 还 会 继续 回购 店家 搞 些 优惠 活动 今年 买 柚子 选 家里,5,2023-11-08 20:08:02
双 搞 活动 价格 非常 划算 京东生 鲜 水果 质量 非常 好 足 斤 足 两 剥 开 吃 很 美味 正宗 柚子 味 快递 送 过来 没有 损坏 推荐,5,2023-11-08 18:55:40
忍不住 评论 一下 果型 外观 漂亮 很 重手 产地 顺丰 直发 速度 很快 刚 开 果肉 红润 水分 很 足 酸酸甜 甜口感 极 好 太 好吃,5,2023-11-08 13:22:43
蜜柚 真是 好 东西 甜甜 口感 超级 棒,5,2023-11-09 15:36:38
价格 仍然 很 划算 经济 便宜 质量 非常 好 卖方 描述 完全 非常 满意 完全 出乎意料 超 划算 划算 购物 实体店 便宜 非常 满意 网上 购物 希望 卖家 生意 会 越来越 红火 物流 会 越来越 快 包装 会 越来越 结实 六 星 表扬 星 不 怕 骄傲犹豫不决 朋友 会 很快 下 单 良心 推荐 真的 很 好 价格 很 高 将来 买 三 好评 满足 满意 满意,5,2023-11-09 15:31:06
第一 次 买 个柚子 很 好吃 次 回 购买 都 坏果 里面 干巴 没 水份 找 客服 没 人 理 京东 购物 多年 首 次 差评 不 敢 买 水果,1,2023-11-09 15:28:09
价格 实惠 皮薄 肉 京东 做 活动 凑单 麻烦 送货 很 快 包装 扎实 下次 活动 再 买 柚子 放 很 久肉 很 厚 汁水 很多,5,2023-11-09 15:27:01
皮薄肉厚 很 好吃 柚子 很 大,5,2023-11-09 15:06:24
中秋节 买 送 爸爸 妈妈 吃 味道 不错 说 好吃 水分 很 足 吃 还 很 香甜 不 很 冷 吃 起来 很 舒服 价格 优惠,5,2023-11-09 15:00:02
京东 红柚 买 次 都 还 不错 皮 不 厚 果肉 口感 不错 部分 地方 有点 干 整体 甜度 不错 下 单 活动 价格 不错 会 回购,5,2023-11-09 14:46:12
多次 购买 柚子 水分 很 足 很 甜,5,2023-11-09 14:45:24
营 都 还,5,2023-11-09 14:36:56
京东生鲜 柚子 不错 上次 买 尝 之后 觉得 不错 下 单 两 皮 不 厚 局部 点 干 整体 挺 甜 两 娃 都 爱 吃 活动 会 回购,5,2023-11-09 14:31:53
好吃 不 贵,5,2023-11-09 14:30:00
物流 很快 天 红心 吃 很 嫩 很 好吃 服务 好,5,2023-11-09 14:29:50
还 蛮 甜,5,2023-11-09 14:10:53
味道 可口 运输 包装 保护 到位,5,2023-11-09 13:59:04
柚子 不怎么 好 皮 特别 厚 剥开 最后 剩 一点 看来 水果 去 店 里边 挑 才 行,1,2023-11-09 13:53:01
没有 上次 好 太 小 上次 还 三 斤 次 买 还 贵 还 小 最 失败 次 购物,1,2023-11-09 13:52:25
柚子 非常 好吃 皮薄 肉厚,5,2023-11-09 13:23:30
柚子 好好 推荐 很多 朋友 买 回购 很多 次 京东 yyds,5,2023-11-09 12:55:24
东西 物美价廉 建议 大家 购买,5,2023-11-09 12:21:18
描述 相符 发货 快 物流 给力 包装 完好无损 还 送货 家 谢谢 性价比 很 高 价 买 质量 非常 不错 赞,5,2023-11-08 12:17:05
买 好 些 水果 京东生鲜 从来 不 会 人 失望 包装 人 放心 内 里 人 放心 果冻 橙 很 甜 没有 酸口 手动 剥皮 果肉 晶莹剔透 很 好,5,2023-11-08 06:29:05
次 两 柚子 个头 感觉 没有 以前 大 味道 相对 不错 水分 很 足 次 京东 物流 很快 送货 上 满 很 满意 次 愉快 购物,5,2023-11-07 22:56:22
买 好多 次 水分 挺 好 放 好久 现在 吃 水分 没有 少 放住 没有 坏 越来越 甜 七 甜 三 酸 我家 宝宝 特别 喜欢 吃 吃 半 下次 回购,5,2023-11-07 16:29:03
口感 非常 好 卖家 描达 完全 一致 非常 满意 真的 很 喜欢 完全 超出 期里值 发货 速度 北 常 快 包装 北常 仔细 严实 物流 公司 服务 态度 很 好 运送 速度 很快 很 满意 次 购物,5,2023-11-07 16:12:50
发货 很 快 京东 快递 柚子 很 新鲜 喜欢 柚子 清香 味道 一共 两 个头 都 水分 很 足 很 好 剥 果肉 很 饱满 口感 香甜 可口,5,2023-11-07 13:42:32
柚子 挺 甜 价格 非常 优惠 汁水 很 丰富 那种 甜口 汁 口感 味道 很 好吃 很 赞 物流 天 皮 很 好 包 不错 额额,5,2023-11-07 13:22:32
吃 柚子 季节 火速 下 单柚子 低卡 好吃 直接 吃 拌 酸奶 都 很 棒 相比 白柚 更 喜欢 红柚子 京东 快递 送货 很 快 会 回购,5,2023-11-06 18:28:18
款 柚子 质量 真 没得说 颗 都 大 饱满 一点 不 含 水分 非常 喜欢 支持 京东 产品 非常 美丽 地方 出产 水果 总是 人 特别 感觉,5,2023-11-06 18:13:50
商品 评价 红心柚 子 太 好吃 吃 上 瘾 新鲜 汁皮 薄 完全 轻松 剥 开口感 超 棒 甜 嫩 爽口 汁 味道 没 说 香甜 极汁 水 特别 浓郁 解腻 促 消化 还 上火 价格 超级 实惠,5,2023-11-06 14:21:34
挺 好 东西 质量 非常 不错 京东 快递 送货 速度 非常 快 非常 愉快 购物 体验 以后 还 会 继续 京东 上面 购买 非常 不错 哈哈哈哈,5,2023-11-09 10:43:25
柚子 味道 挺 不错 甜甜 口感 非常 清新 个头 都 挺 大 分 好几 人 一起 吃 次 做 活动 价格 挺 实惠 总体 来说 挺 不错,5,2023-11-09 10:36:02
京东 上 买 各类 生活 必需品 电器 类 东西 产品 日期 新鲜 电器 功能 齐全 发货 速度 很快 总是 活动 囤 堆 家里 东西 很 方便 售 后 很 及时,5,2023-11-09 10:30:18
垃圾 食品 不 包 赔 客服 服务 态度 不好 不 会 买 这家 产品 千万 别 买 这家 东西 买 到手 后悔,1,2023-11-09 10:25:19
这家 水果 一点 不好 打开 里面 白 小 苦 太 难吃 全部 扔掉 骗人 商家 坏 果子 还 不 处理 垃圾 商家 京东 现在 问题 不 处理,1,2023-11-09 10:22:41
柚子皮 比较 薄 水份 足酸 甜 适中,5,2023-11-09 10:22:12
京东 水果 还 值得 信赖 多次 回购 快递 迅速 柚子 水分 适中 口感 清爽 酸甜 适口 不错,5,2023-11-09 10:20:44
好吃 买 三 次,5,2023-11-09 10:19:27
还 不错 酸甜酸 甜 挺 好吃,5,2023-11-09 10:10:44
味道 酸酸甜甜 软糯 好吃,5,2023-11-09 10:08:34
柚子 已经 次 购买 嫂子 说 味道 很 好 加 单 味道 季节 正是 吃 蜜柚 柚子 甜度 刚好 柚子皮 还 除味 理想 水果,5,2023-11-09 10:01:47
特别 酸 吃 不 太 酸 适合 吃 酸 朋友,2,2023-11-09 09:36:01
买 家里人 吃 京东 物流 时效 很 赞 柚子 不 便宜 差不多 元 皮 算是 比较 厚 味道 酸甜 没有 特别 甘甜 箱 送礼 合适 吃 去 沃尔玛 买,5,2023-11-09 09:30:06
心仪已久 果断 下 手 之后 感觉 很 不错 正品 快递 很 给力 名副其实 心仪已久 果断 下 手 之后 感觉 很 不错 正品 快递 很 给力 名副其实 心仪已久 果断 下 手 之后 感觉 很 不错 正品 快递 很 给力 名副其实,5,2023-11-09 09:11:16
味道 比较 甜 大人 孩子 都 爱 吃,5,2023-11-09 09:07:38
物流 挺 快 水分 好评,5,2023-11-09 09:03:47
货己 收到 酸酸甜甜 味道 不错,5,2023-11-09 08:33:11
老妈 说 柚子 很 好 很 新鲜 送货 很快,5,2023-11-09 08:26:17
水果 非常 新鲜 物流 有点 慢 收到 东西 很 好 没有 失望 下次 还 会 再,5,2023-11-09 07:09:02
非常 好 产品 给力 已经 多次 购买 款 产品 口感 很 棒 京东 商城 搞 活动 购买 价格 十分 实惠 希望 京东 商城 越来越 好,5,2023-11-06 11:30:43
还 行 颗 挺 好吃 颗 不怎么 好吃 没什么 水分,3,2023-11-06 09:58:06
很 好吃 柚子 上周 买 箱 发现 很 甜 去 皮 很 简单 每块 都 剥 出 大 块 果肉 不 品种 每次 去 皮 以后 都 零零散散 肉 很 好吃 推荐,5,2023-11-06 08:29:44
n 次 jd 上 买 东西 好 厉害 好好 东西 便宜 质量 好 物美价廉 买 放心 开心 感觉 都 买 上瘾 买 买 买 根本 停 不 下来 东西 品种 特别 全 划算 方便 实惠 包装 很 好 没有 损坏 写 下 询友 参考 商品 还 值得 购买,5,2023-11-05 21:50:20
好 快 两 大大 红柚 手 手里 沉甸 甸份 量足 拼团 二 人 组 价格 便宜 吃 甜甜 福建 原产地 直发 红心柚 京东 自营生 鲜太 给力 放心 购,5,2023-11-05 20:10:24
发货 很 快 个头 很 大 红心 柚子 味道 很 好吃 很 甜 不 酸 值得 购买 值得 拥有 值得 推荐 吃 完 再 买,5,2023-11-05 17:03:09
收到 之后 吃 酸酸甜 甜 超级 可口 很 喜欢 吃 一经 单 喜欢 不要 犹豫 京东 快递 送 家 很快,5,2023-11-05 15:29:30
儿子 买 福建 发 成都 顺丰 快递 确实 很快 问 一下 儿子 反馈 回来 评价 不错 水分 很 足 甜度 比较 高 天 再 买,5,2023-11-05 12:57:20
京东 物流 神速 下 单 收 货 不 小时 速度 杠杠滴 最 爱 京东 没有 快递 小哥 服务 周到 送货上门 物品 包装 稳妥 柚子 口感 很 赞 水份 很 足会 考虑 回购,5,2023-11-05 10:43:48
价格 实惠 非常 好 次 购物 下次 还 真的 推荐 快递 速度 特别 快爱 爱 发货 速度 很快 东西 包装 很 好 很 满意 还 会 回购,5,2023-11-05 02:10:16
太 酸 果肉 偏 白 没有 之前 买 好 拨开 知道 坏事 不 建议 购买 自营 还 坑,1,2023-11-08 23:12:28
般,5,2023-11-08 23:07:16
产品 质量 不错 选择,5,2023-11-08 22:25:39
很 甜 箱 四 都 吃 完,5,2023-11-08 22:13:51
不错 买 大家 都 说 很 好吃,5,2023-11-08 22:13:08
挺 好 价格 适中 质量 看 不错 次 买 柚子 水分 不 点 柴 可能 库存货 放 很 久 价格 有点 上涨 蛮 甜 推荐 购买,5,2023-11-08 21:58:15
肉 里面 干瘪 硬硬 寡淡无味,3,2023-11-08 21:52:03
柚子 好吃 价格 优惠 力度 很 大 酸酸甜甜 正是 最 爱 别人 不舍 买 已经 吃 奢侈 柚子 平台 最 好,5,2023-11-08 21:49:36
味道 不错 挺 好吃,5,2023-11-08 21:46:14
红心 水分 大 两 片 饱,5,2023-11-08 21:42:20
价格 很 实惠 性价比 很 高 算是 平价 好 物 会 回购,5,2023-11-08 21:42:16
物美价廉物流 给力 值得 回购 已经 买 好 多次,5,2023-11-08 21:41:52
宝贝 真 不错 做 真 细心 值得 拥有 快递 很快,5,2023-11-08 21:41:22
很 不错 水分 好 甜 头 大 吃 完 继续 回购 贵点 确实 好吃,5,2023-11-08 21:33:49
柚子 质量 很 不错 很 甜,5,2023-11-08 21:29:41
好吃 甜 个头 比较 小 好吃 好,5,2023-11-08 21:28:33
超级 喜欢 款 柚子 甜度 真的 很 高 口 咬 下去 果肉 立刻 会 口中 爆开 美味 多汁 进口 柚子 相比 觉得 更 好吃 还 更 具 口感 款 柚子 质量 真 没得说 颗 都 大 饱满 一点 不 含 水分 非常 喜欢 支持 京东 产品 非常 美丽 地方 出产 水果 总是 人 特别 感觉 非常 推荐 款 新疆 法兰西西梅 无论是 口感 品质 都 绝对 一流,5,2023-11-04 23:11:54
非常 非常 棒 味道 很 香口 感肉肉 甜甜 甜 中 带 丢 丢酸 非常 解腻 收到 后 房子 里 再 放 段 时间 口感 更加 甜 非常 适合 喜欢 吃 水果 朋友,5,2023-11-04 21:39:04
发货 速度 很快 东西 包装 很 好 价格 优惠 很 满意 专 还 会 回购 从没 想 实惠 价格 买 好 宝贝 性价比 非常 高 很 喜欢 真心 喜欢 颜色 款式 都 非常 棒 发货 快 包装 严实 商品 质量 非常 好比 专柜 便宜 很多 客服 服务 态度 特别 好 好评 物美价廉 很 ok 实体店 优惠,5,2023-11-04 21:37:32
京东生鲜 红肉蜜柚 箱 两 果型 很 好 很 匀称 皮薄 肉厚 酸酸甜甜 很 好吃 京东 水果 品质 都 很 好 配送 很快 第天 送 家,5,2023-11-04 18:44:26
外包装 优美 大气 看 起来 十分 品质 样子 商家 发货 速度 快 特别 双十一 期间 属实 难得 快递 小 哥 送货 门口 还 提前 打电话 联系 服务 周到 三 大果 看 起来 很 新鲜 值得 好评,5,2023-11-04 18:36:16
京东 自营 水果 真的 很 不错 买 好多 次 基本上 都 好吃 果肉 比较 嫩水 份 酸甜酸甜 正式 喜欢 口感 秋天 吃 点 柚子 很 不错,5,2023-11-04 14:01:16
柚子 非常 好 个头 好 大 维生素 很 丰富 挺 好 以后 还 会 再 买 京东 水果 来得 快 人 很 新鲜 都 冷链 运输,5,2023-11-04 13:57:46
很 新鲜 头 很 大 柚子 非常 好 个头 好 大 维生素 很 丰富 挺 好 以后 还 会 再 买 京东 水果 来得 快 人 很 新鲜 都 冷链 运输,5,2023-11-04 13:57:25
超级 好吃 包装 非常 结实 东西 保护 很 好 物流 给力 值得 回 购物 美价廉物流 给力 值得 回购 真 超级 喜欢 质量 非常 好 卖家 描述 一致,5,2023-11-04 13:21:59
季节 很 适合 吃 柚子 好 去 火 买 好几 每天 柚子 很 甜 水份 特别 足 家里人 都 很 爱 吃 相信 京东 谢谢 快递 小哥 辛苦,5,2023-11-03 18:31:35
不错 水分 足 甜 很 不错,5,2023-11-08 20:32:17
挺 好 积分,5,2023-11-08 20:23:55
质量 非常 好 卖家 描述 完全 一致 真的 很 喜欢 完全 超出 期望值 发货 速度 非常 快 包装 非常 仔细 严实 京东 物流 公司 服务 态度 很 好 运送 速度 很快 很 满意 次 购物 质量 很 好 希望 更 朋友 信赖 京东 客服 态度 特 好 会 再次 光顾 发货 迅速 态度 很 好 很 满意 很 好 很 好 下次 机会 再 找 客服 人 蛮 好 东东 很 不错 淘 心意 宝贝 件 人 很 开心 事 比心,5,2023-11-08 20:12:28
柚子 吃 起来 口感 挺 不错 八 分 甜 两 分 酸,5,2023-11-08 20:09:16
酸酸甜甜 很 好吃 水分 足,5,2023-11-08 20:00:56
柚子 味道 不错 水分 充足,5,2023-11-08 19:29:59
柚子籽 特别 大 还 很 酸品 控 把握 太 差劲 第一 次 京东 购买 东西 没 想到 体验 无 语 死 京东 自营 品质 两 斤 卖 斤 块 钱 品质 恕 直言 上面 买 斤 强 没有 影,1,2023-11-08 19:25:40
摸 起来 点儿 巴,5,2023-11-08 19:21:04
很 甜 很 新鲜,5,2023-11-08 18:54:01
还 稍 微 点 酸凑单 买,5,2023-11-08 18:46:29
很 好吃 谢谢 京东,5,2023-11-08 18:40:15
柚子 最近 京东 买 水果 相对 不错,4,2023-11-08 18:39:59
味道,5,2023-11-08 18:39:15
挺 好吃 新鲜 甜度 适中 满意,5,2023-11-08 18:28:44
柚子 最近 京东 自营 买 水果 相对 比较 不错 差 匹,4,2023-11-08 18:28:35
大家 都 说 脸皮 城墙 都 厚 今天 遇到 脸皮 还 厚 柚子,1,2023-11-08 18:26:20
太 小 比较 酸 还 有点 歰 不 太 满意,1,2023-11-08 18:22:09
好 值得 推荐 京东 物流 快,5,2023-11-08 18:19:04
京东 自营 产品 包装 完好无损 送货上门 非常 方便 活动价 购买 价格 非常 实惠 个头 还 柚子 水份 充足 口感 很 甜 容易 剥皮,5,2023-11-03 18:09:58
价格 高,3,2023-11-03 17:58:39
很 好吃 细腻 汁 水分 甜 特别 说 一下 果肉 柚子 营养 价值 很 高 分量 果子 手里 沉甸甸 吃 清香 可口 果子 非常 均匀 拨开 果肉 特别 饱满 个个 饱满 汁粒粒 分明 特别 好看 喜欢 吃 柚子 朋友 去 下手 价格 超级 便宜 划 不错,5,2023-11-03 14:39:43
柚子 真的 很 好吃 很 不错 非常 甜 没有 真 没有 真的 感觉 反正 实体店 买 好吃 京东 买 非常 划算 真的 很 好吃,5,2023-11-03 14:34:49
柚子 买 好几 次 每次 都 很 好吃 酸甜 偏 甜 一点 很 新鲜 水分 很 足 非常 好吃 包装 完好 没有 破损 速度 很 快 送货 家 服务 非常 好,5,2023-11-02 19:07:06
柚子 吃 最 甜 柚子 箱 三 个头 比较 大 皮 很 薄 很 容易 剥 比比百亿 补贴 皮 还要 薄 还要 甜 发货 很快 产地 直接 发 吃 完 还 会 买,5,2023-11-02 18:24:44
京东 自营店 水果 不错 柚子 头 大 分量 足 果肉 汁 不 酸 价格 实体店 便宜 很多 很 划算 京东 物流 送货上门 物流 保证,5,2023-11-02 16:36:02
产品 价位 相比 来说 还 很 合适 终于 收到 货 非常 非常 喜欢 做工 精致 漂亮 已经 很多 人 夸 真的 太 开心 已经 他家 忠实 粉丝 以后 还 会 继续 买 买 买,5,2023-11-02 14:40:47
很 喜欢 购买 放 家里 备用 应急 都 很 不错 快递 小哥 很 好 送货 很快 辛苦 希望 价格 更 优惠 点 家 老小 都 很 喜欢 会 继续 支持 比较 方便 快捷 当天 送 家 家人 朋友 买 下 单方便,5,2023-11-02 09:36:22
京东 水果 多次 购买 物流 非常 快 品质 好 价格 合适 家里人 都 非常 喜欢 活动 以来 性价比 更 高 送货 门 非常 方便 还 会 回购 推荐,5,2023-11-01 21:33:58
柚子 差评 果肉 水分 少 核 大肉 硬,5,2023-11-08 16:57:42
物美价廉 非常 好 物美价廉 非常 好 物美价廉 非常 好 物美价廉 非常 好,5,2023-11-08 16:13:30
还 重量 差不多 甜度 行,5,2023-11-08 16:10:53
柚子 很 甜 官溪 产地,5,2023-11-08 16:08:12
好吃 还 不 贵 柚子 水分 非常 充足 好评,5,2023-11-08 16:04:12
还 行,5,2023-11-08 15:56:09
小小的 还 没 吃 葡萄柚 大 一点 两 只,1,2023-11-08 15:53:19
不 建议 购买 箱 四 打开 后皮 很 厚 果实 小 水果刀 大小 口感 不好 非常 苦涩 目前 只 打开 不 知道 就算 概率 不 打算 回购 太 苦,1,2023-11-08 14:40:14
京东 物流 字 快 昨晚点 点 前 下 单 今天 早上 收到 包装 很 好 上 京东 商城 网购 东西 非常 不错 价格 便宜 物流 快 正品 质量 很 好 性价比 高 值得 购买 送货 速度 快,5,2023-11-08 14:35:09
柚子 水份 很 足 口感 酸 甜 可口,5,2023-11-08 14:12:51
不错 水分 充足 小朋友 喜欢,5,2023-11-08 13:39:18
很 好吃 还 会 再,5,2023-11-08 13:36:27
水份 不 不怎么样 柚子 难 买,3,2023-11-08 13:13:59
柚子 还 蛮 大 皮 很 薄 酸酸 甜甜 水分 很 足 每年 都 京东 上 买 好多 柚子 京东 上 外面 水果 店 便宜 些 划算 值得,5,2023-11-01 20:50:50
店家 发货 非常 快 服务 态度 很 好 应该 正品 次 很 愉快 购物 终于 买 满意 商品 超出 期望 非常 喜欢 身边 人 都 问 链接,5,2023-11-01 19:37:45
红柚 很 棒 超市 水果 店 柚子 好 便宜 还 好吃 价格 还 实惠 包装 完好无损 没有 坏果 烂果 水分 简直 超级 维生素 含量 高 果肉 红润 爆满 水分 十分 充足 关键 剥皮 超 容易,5,2023-11-01 18:19:35
产地 柚子 非常 好 口感 好 汁 水 不 酸 很 甜 包装 精美 头 够 买 京东 自营 水果 好 质量 保证 售 后 无 忧 继续 支持 京东,5,2023-11-01 17:45:22
东西 不错 优惠 放心 省钱 购买 不要 犹豫 质量 很 好 收到 货 第一 时间 打开 看 很 不错 很 满意 还 会 回购 个柚子 都 已经 吃 完,5,2023-11-01 16:52:27
款 红心柚 子柚子 比较 大 口感 酸甜 个别 皮 比较 厚 整体 还 不错 京东 物流 配送 很快 家里 大大小小 东西 京东 上 购买 后续 还 会 回购,5,2023-11-01 13:04:13
大 小 两 长 相 圆润 还 没 吃 应该 还 挺 不错 送货 很快 送货上门 很 方便 不 太 经常 京东 买 水果 好 话 会 再 回购,5,2023-11-01 12:44:19
不错 产品 值得 购买 已 多次 购买 上 回 买 大 家里人 觉得 味道 挺 好 酸甜适 中口感 性价比 非常 不错 回 一下 买 四,5,2023-11-01 11:12:00
柚子 特别 甜 孩子 很 喜欢 吃 买 很多 次 京东 服务 态度 真 好 发货 很快 商品 质量 相当 不错 太 喜欢 很 满意 还 会 继续 购物,5,2023-11-01 08:43:09
说 京东 物流 平时 很 给力 当天 天 送达 疫情 期间 预留 周到 半月 物流 量 款 水果 看 起来 不错 用感 很 好 已经 回购 很多 次 希望 真材 实料 不要 坑害 人民 无法 鉴别,5,2023-11-01 08:12:03
质量 商品 质量 非常 好 非常 满意 发货 速度 发货 速度 非常 快 包装 非常 仔细 严实 物流 服务 京东 物流 服务 态度 很 好 运送 速度 很快 送货上门 购物 体验 次 非常 满意 购物 体验 店家 服务 店家 服务 态度 特 好 会 再次 光顾 商品 评价 还 行 吃 口 没 盒马 买 好 期待 期待 店家 更 优惠 活动,5,2023-11-01 00:01:15
京东 物流 一如既往 快 当天 下 单 天 包装 完好 无 破损 快递员 服务 很 好 收 货 后 尝 水分 很 充足 很 甜 还 会 回购,5,2023-10-31 22:27:03
昨天 下 单一 大早 收到 货 物流 真心 太 快 马上 开 尝 很 好吃 汁 酸甜酸 甜 太 美味 次 买 大 上次 小 大多 味道 更 好吃 完美 期待 单 购买 葡萄柚 好吃,5,2023-10-31 09:22:11
红心柚 个头 不错 两 装 蛮 分量 皮 薄肉厚 水分 很 足 甜度 适中 吃 起来 口感 很 不错 京东 购买 很 实惠 水果摊 靠谱 送货 快,5,2023-10-31 08:14:26
还 不错 值得 品尝 口感 非常 好 发货 货 一级 棒 包装 保护 很 好 送货 很快 没有 出现 错 漏 酸酸甜甜 口感 小孩子 很 喜欢,5,2023-10-30 23:34:04
很 新鲜 好 甜 价格 实惠 下次 还 会 回购 希望 点 活动,5,2023-10-30 16:33:04
款式 很 大方 质量 非常 好 价钱 很 合理 发货 很 快 包装 很 好 价格 特别 实惠 功效 不错 值得 购买 宝贝 收到 很 惊喜 设计 合理 时尚 大方 继续 关注 以后 会 回购,5,2023-10-30 14:07:29
食食食 食食 红肉蜜柚 特别 好吃 吃 起来 香甜 汁 很 甜 真是 果香 四 港 收到 直接 开 尝尝 皮薄 汁 旦 果肉 细嫩 水分 足柚子 营养 价值 很 高 红心柚 还 做 杨技 甘露 水分 很 足 去 皮 切 块 拌 美味 水果 蔬菜 色拉多 吃 点 均衡 下 营养 口感 好 香甜味 好吃,5,2023-10-30 13:32:29
款式 很 大方 质量 非常 好 价钱 很 合理 发货 很 快 包装 很 好 价格 特别 实惠 功效 不错 值得 购买 宝贝 收到 很 惊喜 设计 合理 时尚 大方 继续 关注 以后 会 回购,5,2023-10-30 12:32:12
秋冬柚子 家里 必不可少 款 水果 老人 小孩 都 爱 吃 水分 足 酸甜 口感 不 会 橘子 酸 上火 很 好 还 会 回购,5,2023-10-30 12:28:40
两 颗 大 小 打开 皮薄 肉厚 品尝 口 感味 甜 不 酸果 肉汁 水 充盈 肉质 细腻 不 糙 很 新鲜 价格 超级 划算 优惠 话 后续 还 会 购买 次 必须 赞 希望 厂家 越来越 好 京东 发掘 更 优质 商家,5,2023-10-30 11:27:27
