分词,评分,评论时间
这西柚很大很大很不错。口味也好很新鲜。送货也很好，快递不错。购物非常满意。,5,2019-06-07 23:19:44
就喜欢在京东上去买东西了，送货又快又新鲜，还物美价廉，省的我去超市自己拎回家了，以后就在京东超市买东西了，超赞,5,2019-06-07 09:42:44
西柚水分很多，小朋友也很爱，还是很新鲜的，个头也大，很好的，会持续回购,5,2019-06-04 20:25:38
西柚非常好，够大个，京东购买方便，,5,2019-06-02 15:12:55
收到货就迫不及待开了一个尝试一下，根据个人口感要是甜甜的就更完美了，个子挺大的，跟图片一模一样，水分充足，果肉红红的，喜欢。真有这么红现实也，很好！,5,2019-06-02 14:47:00
西柚表面上看非常漂亮内里皮特厚干涩酸苦典型的金玉其外败絮其中,5,2019-06-02 09:14:53
买了好多，超级喜欢，以后还会继续买。。。,5,2019-05-25 11:27:36
商品不错，客服态度好，主动热情，非常负责任的，快递小哥很棒，下次再买,5,2019-02-02 12:16:22
物流快，邻近春节物流也没有当误时间，很好，京东物流还是一如既往的优秀！,5,2019-01-27 15:39:14
第一在京东自营买水果，平时都很贵，趁着双十一减的活动买了起来，元买了爱媛橙和苹果和西柚各一箱，火龙果三箱，第一次吃大凉山的苹果很好吃，还会回购，火龙果也很新鲜，爱媛橙很不好，不像是真的爱媛橙，西柚也不好吃，找客服，客服给了京豆，也算是个安慰，京东对顾客的态度真的很好，以后还会尝试再买点水果的。,5,2019-01-03 21:44:05
有点酸，下火专用，到货快，不愧是京东物流的速度，每次都给我惊喜，下次还来,5,2018-12-29 13:11:33
质量很好，快递给力，包装完好，味道不错，支持京东，满意，全五星。,5,2018-12-29 10:13:06
一共买了种头一天下单第二天中午就到货了包装很严实快递小哥很给力一下就都搬上楼水果都很新鲜好吃好吃,5,2018-12-28 14:57:29
第一次在京东生鲜购物，正好赶上快春节，采购速度很快了，到货也快，而且看到快递员的装备也很专业，水果的味道非常不错，很新鲜，家里人都觉得不错，以后会继续在京东生鲜上购物,5,2018-12-26 13:41:50
送货快，包装很好，西柚子味道很好。,5,2018-12-23 15:00:12
这次买的非常好，发货也很快,5,2018-12-18 23:16:32
物美价廉，果够大，柚子味很香。,5,2018-12-14 23:57:22
之前一直在那边买，元个的，这次双在京东折上用券凑单买了个，还是很划算的，果都是好果，酸涩度正好，直接吃爽口，也可以打果汁,5,2018-12-07 14:42:39
我可爱的西柚，果肉粉红，汁多多的，味道微酸带点微苦，个人觉得蛮好吃的，西柚很硬实，很新鲜，外果皮挺薄的，肉瓣间的皮更薄。,5,2018-12-07 13:49:51
真是实惠，元一个。虽说是mini但是个头都很大，比我的拳头都大！很新鲜，味道酸甜适中略带淡淡的苦味，最适合糖尿病人吃。太棒了继续购买！京东的包装和运输速度都超级赞赞，怏递小哥还上楼送货到家！太谢谢了,5,2018-11-28 12:40:50
超级好吃，双十一满减，可是快递就没那么快收到，推迟几天才拿到手，怕不新鲜签收时候多余了，水果很新鲜，物美价廉苹果个头不大,5,2018-11-26 15:17:25
在京东上买了一大堆的水果，包装都很好，送货也快。这个柚子水水的，水分很饱，肉质很细嫩。有轻微的苦味，柚子皮非常的香，很大个很好吃。,5,2018-11-25 19:56:10
西柚很大，新鲜爽口，喜欢！,5,2018-11-24 12:17:19
一直在京东购买生鲜和水果，有活动很划算，物流也很方便，省去了去超市选购的时间，非常不错,5,2018-11-23 08:38:44
这次买的西柚非常好，皮薄，汁水多，送货也很及时，冬天要多补水，好开工。,5,2018-11-18 11:49:34
京东水果超市自营，买的西柚，家里人都很满意。京东物流，还是比较满意，快递师傅服务非常热情！,5,2018-11-17 18:39:11
物流很快，超级好，第一次买水果，没让我失望，吃完再买，快递小哥还给免费送到楼上，棒棒的,5,2018-11-17 17:28:00
不错，这个柚子水分很大，非常贴合非常不错，下次还会再来购买，导航是坏的新的镜头速度非常快物流。,5,2018-11-14 17:34:15
非常不错的西柚，口感很好，发货快包装好，价格合适，好评！,5,2018-11-13 21:35:34
之前买了箱橙子，特别好吃，这次趁双十一打折又买了箱橙子和箱西柚，优惠力度特别大，购物体验超级赞，皮薄，水分大，味道很好，再冷了东北就不能邮寄了，一次买了好多，推荐大家买。,5,2018-11-13 16:51:16
快递给力，第二天就到了，包装很好，质量不错，活动给力，价格优惠，大小也均匀，个头都挺大的，支持京东，满意，全五星。,5,2018-11-07 20:45:30
水果质量非常好，可是我不了解西柚和红心柚的关系，产品与卖家描述的完全一致，非常满意真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物,5,2018-11-07 17:51:22
送货很快，物流很及时，第一天下单第二天就到了，味道很好，鲜美多汁，嫩滑可口，下次还会买。,5,2018-11-07 11:21:02
收到都是冰冰的，应该是冷库刚出来的。很大个。上午下单，晚上收到，一贯的京东速度。,5,2018-11-03 20:18:37
第三次买京东生鲜的南非红柚了，一如既往的送货快，物流及时，个头很大，很饱满，鲜嫩多汁，口感美味，下次还会买。,5,2018-11-03 11:26:20
物流很快，送货很及时，保存很好，水果很新鲜，价格比超市便宜，物美价廉，味道很好，口感很不错，下次还会买,5,2018-11-03 11:19:18
同时买了好多水果，这个西柚不错，水分很足，补充维c好东西，回家就打开个尝尝，口感特别好～给快递小哥点赞！,5,2018-10-30 18:29:28
京东生鲜超市的西柚，个大新鲜，一直给家里人买，都都很满意，京东快递非常棒，晚上下的单子，早上就送到。快递师傅态度非常好！,5,2018-10-30 18:08:51
喜欢吃红心柚，一次一个正合适，大柚子一次吃不完，再吃总觉得不够新鲜了，红心柚属于越放越甜，水份还越多的！京东购物方便快捷，发货速度很快，送货师傅态度非常好！,5,2018-10-28 16:53:47
还吃的西柚到货了，一如既往的快速安全送达，还用保温箱装着，个头均匀，很新鲜。吃过后在评价口感。,5,2018-10-25 17:56:47
个头出乎意料的大，一个西柚大概有甜甜圈那么大。吃起来略酸，但是汁水很多，应该富含维生素吧。包装很精美，送货上门，感谢京东物流小哥。,5,2018-10-21 21:06:50
今天收到了，果子很大，第一层的果很漂亮，喜欢价钱贵有价钱贵的道理，好吃还会回购的,5,2018-10-19 23:26:59
西柚很大个，新鲜，上午拍下的，下午点多就送到了，很快，方便,5,2018-10-18 19:55:54
个头都很大，非常喜欢，赞赞赞,5,2018-10-17 09:42:58
京东配送速度一如既往地迅速，第一次在此买水果，真心不错，快递小哥帮忙一个一个的查看，有无坏果，贼逗也都还可以！,5,2018-10-14 15:48:28
京东的水果可以的，味道很好，特别好，好吃，水分还多,5,2018-10-07 13:16:56
买很多次了，在京东买水果，包装好，速度快，实惠新鲜，非常好，非常好,5,2018-10-07 08:13:18
汁多肉厚，酸甜爽口，清火开胃之佳品，挺不错的！包装也很到位，直接好评！,5,2018-10-07 01:56:10
吃了一个味道很好，肉质细腻水分足。,5,2018-10-05 15:55:47
超级好刚好遇上活动贼棒！！！！希望下次活动更大！,5,2018-10-03 21:03:13
很好吃已经买了很多次了孩子特别喜欢吃性价比特别高超级划算每次都会买的很好,5,2018-10-02 20:11:56
超级满意的大西柚，特别新鲜，汁水甜美，这个季节吃补维c，上好的果果，而且价格特别公道哈，京东冷鲜一级棒，会再购，快递员特别负责,5,2018-09-28 14:21:40
买过很多次了，品质很好，水份很足，很好，很新鲜,5,2018-09-26 10:33:06
一起买的，百香果牛油果，哈密瓜西柚，都特别新鲜，特别好吃，吃完又在京东买了一批，信任京东,5,2018-09-25 14:08:34
很棒哦，买过最好的水果，买回来快一个月了依然爆汁，赞赞赞！,5,2018-09-22 12:06:07
昨天买的今天收到了，很满意，还没尝，味道应该可以！,5,2018-09-18 20:14:06
刚好赶上活动，一单买了很多水果，品质都还好，快递也很给力，京东的品质还是让人放心，偶尔小有问题也处理的很及时！,5,2018-09-17 14:09:17
包装上乘，质量不错，快递神速，好！,5,2018-09-16 14:28:02
味道不错，关键新鲜，小朋友很喜欢，跟同事一起又团购了份,5,2018-09-15 12:51:51
一盒个，大的一个有g，比百果园便宜，很实惠！以后就来京东买水果了！,5,2018-09-12 21:38:10
很好很满意。快递也准时。透亮的红瓤，和图片一样。口味微酸，正是我喜欢的。又回购了。,5,2018-09-11 00:34:29
一直在京东买，水果很新鲜，物流很快！,5,2018-09-04 22:22:12
一如既往购买，京东送货很给力，送来的时候还是凉凉的，保鲜做的很好。,5,2018-09-04 06:50:16
二次购买了，西柚的水分很大，不像水果店里买的苦味中，送来时候很新鲜,5,2018-09-04 06:47:43
第三次购买了，非常好。也希望东哥没事回来，你懂的,5,2018-09-03 20:22:12
发货迅速，隔天送到，外包装完好。西柚的个头很大，打成果汁喝，非常苦，需要添加梨汁、苹果汁。京东快递员素质高。,5,2018-09-02 18:28:49
果子个头均匀，皮很薄，果肉水分足，酸甜可口，速度也非常快，上午买的，中午就收到了，好吃,5,2018-09-02 18:21:26
很划算的，宝贝已经收到了，真的是物有所值非常的满意。包裹的严严实实没有任何破损，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指，完全超出期望值，京东送货很准时，非常满意！,5,2018-09-02 10:35:47
包装完整，配送及时，很多次在京东买水果，每次服务都很好，送货速度超快，以后继续支持。,5,2018-08-31 13:11:01
柚子很新鲜，水分很足，好吃,5,2018-08-26 16:32:09
哇，果收到了，第一个京东服务真的好，包装没的挑，速度也是够快。迫不及待的尝了一个橙子，真是美味。,5,2018-08-19 18:20:23
最近在京东买了很多水果，零食和日用品，都很不错，相信京东。,5,2018-08-19 17:13:17
东西很大很好哦，还没吃呢不知道味道如何，准备明天榨汁喝了应该很补的呢。快递很快哦，一天就到家了。,5,2018-08-15 18:03:26
第一次吃，颜色很漂亮，完好无损，物流快速,5,2018-08-15 17:56:34
分量很足，颜色好看，真的是大果，吃起来比小的要更甜，更香一些，特别好吃。,5,2018-08-14 21:42:31
又大又圆，一盒六个，榨汁喝，夏天极好饮品。京东快递真是太棒了，订单第二天到家。,5,2018-08-11 09:30:54
大果真的蛮大的，和中果比大很多，水分足，一分价钱一分货,5,2018-08-10 13:27:21
南非进口红西柚红心柚柚子个装单果重约g新鲜水果，非常棒的果子，物美价廉，多次购买，下次再来,5,2018-08-06 19:33:09
京东生鲜的西柚，大品牌值得信赖，质量有保障，一直给家里人买，都比较满意。京东物流，非常的快，晚上下单，第二天早上就送到了，快递师傅态度非常棒！,5,2018-08-06 19:00:18
柚子皮很薄，水很多，大小如图。满意度很高为了增加维生素c，专门买的。有点酸苦，妈咪吃的眼睛挤在一起了哈哈为了维生素c。吧唧吧唧京东的物流一直是最满意的，服务也很好。已经养成在京东买东西的习惯了,5,2018-08-05 11:01:28
京东生鲜买过好几次不管是食材还是水果都很新鲜快递小哥送货及时冷箱保存一如既往的好,5,2018-08-04 16:23:26
发货速度很快，昨晚下单，今天一大早就收到了。个头也很大，也很新鲜，水分也很足。味道也不错，打破了我对西柚的印象。一直以来都觉得西柚又酸又涩。这次还不错呢。,5,2018-08-04 14:58:58
京东产品质量不错，物流很给力，商品大品牌值得购买，大家快来买吧！,5,2018-08-04 14:54:50
果子不错，没有坏掉，送货非常快，拿到手里还是冰的。,5,2018-08-03 15:58:10
自从生了娃，我简直是把京东搬到我家来的节奏，平时忙很少评价，这次必须赞一个，快递小哥看我比较方便，直接把这么多东西外加一大包纸巾给我扛到了家门口，不得不佩服京东的运营模式，真是又快又好，啥也不说了，无限回购，直选京东！,5,2018-08-02 16:43:14
第一次在京东买东西，看身边的同事朋友都是在京东买东西的，觉得各方面都超级棒。服务，物流，还有品质！超级新鲜的！！！绝不会像有些电商网站上的店铺写的克数有那么多，实际买回来的水果只能取个最低重量。看图哈，刚吃了一个超级新鲜,5,2018-08-01 23:36:35
酸甜酸甜很好吃的，很新鲜。挖出那些肉出来。泡水更加好吃。。,5,2018-07-31 04:29:24
有一只已经坏了，没有找售后，其他不错，价格也还行，就那样了,3,2023-09-28 19:55:06
西柚真是特别好水份充足味道酸甜可口香味很浓郁给宝宝第一次吃宝宝也很喜欢这个营养丰富给宝宝吃最好了以后还会买希望下次也是这么水分充足,5,2018-07-30 16:13:50
柚子个头还可以，一大箱有点夸张了水份多，甜甜的，比我超市买的还有新鲜，超级爱吃，女儿也喜欢，,5,2018-07-30 10:24:58
非常棒很甜很新鲜又很干净营养丰富！,5,2018-07-29 09:52:18
物流很快，感谢京东小哥送货，柚子新鲜，很酸爽，直接吃不错，拿来做蜂蜜柚子茶更好。,5,2018-07-28 13:35:54
买了好多种水果，有了京东生鲜，超市都不用去了，太方便了,5,2018-07-28 09:34:24
水果很新鲜，味道还不错,5,2018-07-26 10:04:54
好吃，新鲜，比外面水果店便宜，水份很多，也很甜，第二次购买，送货也快,5,2018-07-23 17:42:02
第一次京东买水果，水果很不错，多，买了好几箱，以后大家可以多买，实惠还不用自己抱回家！,5,2018-07-21 05:48:22
买了好几次了，价格比超市便宜，味道好，没有坏果，非常不错的西柚～,5,2018-07-18 15:41:50
包装很好全程冷藏送到，非常感谢。,5,2018-07-18 13:37:48
营养丰富的西柚，价格不算很贵，京东出品，值得信赖！,5,2018-07-16 19:17:49
很不错哦，宝宝很爱吃！新鲜极了！！！,5,2018-07-15 19:01:58
京东生鲜就是快，水果很新鲜，味道很好，质量很不错，也很划算，赞一个,5,2018-07-15 10:11:19
卖相很好，物流也快,5,2018-07-13 11:42:12
不错，很完整也很甜真不错,5,2018-07-10 23:34:23
酸酸的比在超市买的水分多，蛮新鲜的。在这要感谢快递小哥，态度超级好，还给装在冷箱送过来。给小哥分好评点赞。,5,2018-07-10 10:47:57
这款西柚产品我买过多次，可能与产地、季节有关，有时候品质好，有时候差一些。这次的果子很新鲜，果皮薄，果肉糯，酸甜适中，口感很好。,5,2018-07-10 07:57:35
水果特别新鲜，送货速度很快，京东自营值得信赖，以后就在京东买水果了,5,2018-07-05 08:24:09
超级好，买了很多次，这次的又大又水，推荐给了身边很多的朋友，也都说很好，希望下次还能这么大，哈哈,5,2018-07-03 10:57:44
做活动拼单买的，很惊喜很大个，也很新鲜，特别是快递速度，棒棒哒支持,5,2018-07-01 16:18:28
好吃acute，味道很不错，刚买了一件就又下单两件。价格比超市便宜，也没那么酸，非常好的西柚，推荐～,5,2018-06-27 14:01:02
水果很新鲜，而且物流挺快的。送货是都用冷藏保鲜盒装着，摸起来还冰凉冰凉的。,5,2018-06-25 10:32:29
送货上门非常满意哦果子很大哦,5,2018-06-24 16:53:07
快递很快送到，第一次购买，西柚很好吃，酸酸甜甜还有点苦头。吃完在买啦。,5,2018-06-23 19:57:26
挺新鲜的，已多次购买，送货很快，服务太让人满意了，很满意。,5,2018-06-23 11:26:46
京东生鲜真心喜欢！！很赞很棒！！感谢京东快递师傅，一口气帮忙拿了上来（我住楼梯楼）西柚我最爱～～～～好吃的不要不要的，简直我最爱了～～～～～～～,5,2018-06-23 10:50:03
包装好，果香浓郁，这次遇到秒杀活动很合适不到元一斤，比超市便宜非常多。到手后就吃了一个，口感很好，汁水足，微甜，回味淡苦，非常好的西柚。,5,2018-06-22 22:28:36
水果很新鲜，快递也很给力，活动力度很大！,5,2018-06-22 18:46:40
外包装挺失望的，打开一个外包装后给我一个惊喜，水果很不错，做活动买的，超值！,5,2018-06-19 22:38:59
西柚好不容易等到你，价格亲民啊，一下子买了五盒，很新鲜的,5,2018-06-19 20:18:49
西柚水果之王，我的最嗨，京东商城的水果物美价廉，还会继续关注！,5,2018-06-11 11:16:35
搞活动买了很多！晚上下单第二天十一点多就收到，每样水果都有纸箱包装着，柚子很大一个。,5,2018-06-01 19:21:03
很新鲜，一次买了四箱，上次也买了四箱，很不错,5,2017-09-02 07:34:23
西柚很好吃，都吃了两个了才来评价，味道微苦，不过很去火，抱歉刚吃完所以只能晒皮啦！相信京东，相信京东自营产品，一百个赞,5,2017-08-15 17:34:54
西抽质量非常好，汁多味酸甜大家都爱吃售后非常到位，买得放心吃得开心，信赖京东,5,2017-08-03 11:46:00
一直在京东购买东西了，这次购买的商品是京鲜生，进口红西柚，新鲜水果红心柚，非常好吃，酸甜爽口，微苦回甘，水润清新香气扑鼻，果色靓丽，芳香浓郁，圆润饱满，酸甜多汁，优质产地，源于自然，在京东购买东西价格合适快递小姐姐服务态度很好送货上门很方便。,5,2023-02-12 06:23:07
昨天拍的今天中午就到货了快递小哥送货很快服务好，包装很严实有密封，没有出现坏果，比较新鲜，果子不是很重。有需要还会再来的！,5,2023-04-16 13:04:14
一直在京东购买东西了，这次购买的商品是进口红西柚，一级中果红心柚子，非常好吃，酸甜可口，水份充足，份量十足，香味扑鼻，大小均匀，非常新鲜，圆润饱满，酸甜多汁，水果中的王中王，奇妙的清甜与微苦，在京东购买价格合适，快递小姐姐服务态度很好送货上门。,5,2022-06-22 11:30:41
京东自营旗舰店官网正品现货购物体验感觉棒棒哒非常非常喜欢这个京东自营旗舰店官网正品购物体验,5,2023-10-10 19:40:09
红心柚子很好吃，皮很薄，甜，水分也足。比外面水果店里买的要好吃，还便宜很多。快递送货上门，服务很好。,5,2023-10-15 11:45:59
京东买东西省时省力又省心，服务好质量还有保障，而且发货速度超快，包装完好无损，水果新鲜，足斤足两，一个大一点一个稍小一点。,5,2023-10-10 11:06:09
柚子很好吃，我这个放的时间有点儿长了，但是味道还是很好的，酸甜适中，水分也很足，很喜欢在京东购物，物美价廉，送货也方便。,5,2023-10-11 10:03:34
跟实体店没有区别，还便宜，喜欢！特别特别特别好，没有任何破损的地方，外观也好看，好评！宝贝已收到，是我想要的，手感很好，质量也挺好，有问题客服也很快就解决了，态度非常好，一定好评！,5,2023-11-06 17:19:50
已经收到货了，我非常喜欢，我下次还会继续购买的，主要有下面几点原因：商品品质：这个商品的品质非常好，颜值很高；物流配送速度：物流配送速度很快，快递小哥送货上门，服务很热情客服服务：商家客服的服务态度特别好，我问了客服很多相关商品问题，客服都一一为我耐心解答；价格：这个商品的价格特别实惠，性价比很高。,5,2023-10-23 18:12:48
一共买了个柚子，总体来说价格实惠，口味也不错，酸甜酸甜的，可惜今天打开第二盒时有一个坏果，果皮表面上有黑点，未拍照，尝了下是苦的就扔掉了。,5,2023-10-31 21:42:49
一共是两个柚子，个头也挺大的，收到货后也没有坏了或者破损的，吃起来有点酸甜（建议收到货后再放上几天可能口感更好），肉粒也比较饱满。,5,2023-10-20 15:10:50
源头直发，品质有保证。水果新鲜，水分比较多。快递送上门，比较贴心。京东购物品质有保证。家里有什么东西都在京东上采购。放心，安心。,5,2023-10-16 20:08:53
发货速度很快，东西包装的很好，价格优惠，我很满意，还会回购从没想过这么实惠的价格，能买到这么好的宝贝，性价比非常高，我很喜欢哦真心喜欢，颜色、款式都非常棒！发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评物美价廉，很ok，比实体店优惠太多了,5,2023-10-14 12:44:36
很好，还会继续购买的。。。。。,5,2023-11-09 21:23:16
一般般,4,2023-11-09 21:21:04
真心不好吃啊！这也不便宜为啥这么干吧，这么难吃啊！！！水分也没有，糖分也没有，这叫啥红心柚子身伤感情,1,2023-11-09 21:02:53
物流很快，质量很好，值得信赖，相信京东！,5,2023-11-09 21:02:39
物流快，质量很好，很喜欢吃的,5,2023-11-09 21:01:28
两个柚子一个黄一点一个白一点,5,2023-11-09 20:56:21
好吃的，第二次买了,5,2023-11-09 20:50:09
柚子很好，价格也划算，好吃，下次还会再来买,5,2023-11-09 20:49:23
做活动买的，价格可以接受，口感不错。,5,2023-11-09 20:44:41
有一个果还行，有一个皮超级厚,3,2023-11-09 20:43:12
日期新鲜，比超市划算,5,2023-11-09 20:34:46
感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手,5,2023-11-09 20:33:54
家里人都很喜欢吃柚子，甜甜的，吃了很开心，搞活动非常便宜，到手价很满意，柚子很好吃，大家都很喜欢这个柚子，满了很多，已经堆成山了,5,2023-11-09 20:31:51
非常好吃，果肉很细腻，酸甜适中,5,2023-11-09 20:25:45
不错，挺好吃的,5,2023-11-09 20:21:53
划算，价格便宜，稍微有点小。,5,2023-11-09 20:21:48
味道不错！酸甜可口！,5,2023-11-09 20:19:02
太好吃了吧买的时候真的是抱着试试看的态度，看姐妹反馈好吃就决定下手了！这简直惊呆我了，个头大小我觉得刚合适，主要是太好吃了，甜，汁水多，超级好剥皮，是我第一次对柚子这么大的好感！之前在我们这本地超市买的柚子让我一度放弃了吃柚子，这款柚子又让我找回挚爱啊！好吃好吃一小会轻松炫半个哈哈,5,2023-10-31 15:58:25
京东自营的水果就是非常的好。发货超级快，到货超级快，包装很精致，真的是开启了新世界的大门货真价实，高颜值，高品质，一分钱一分货，材质外观和质量一看就很上档次，非常喜欢,5,2023-10-26 21:59:39
送礼的应该还不错的，之前在京东买的榴莲不错，售后也很好，这次中秋有水果套盒优惠，果断了买了好多水果送礼！特别香印葡萄，很好吃呢！个头也大！,5,2023-10-24 15:08:57
京东自营是我一直信赖的电商，基本平时所需吃的，喝的，玩的，日常用品大多都在京东自营购买，物流速度快，品质有保障，价格上经常会有优惠活动，非常省事省时省心,5,2023-10-23 18:07:44
秋天的第一个柚子呀，收到的红柚很好，很新鲜，虽然皮丑丑的，但是果子味道很好，酸甜可口，一晚上吃了一个，很好吃，下次还会买的。,5,2023-10-20 00:54:19
物流超级超级快！质量也非常不错，的确物有所值，很新鲜，好吃了再来买，很愉快的一次购物，送的还有开口神器,5,2023-10-19 11:44:50
红柚子个头比较大，颜色也红润，颜值很高啊，柚子肉水分可以，口感很肉头，不柴，酸酸甜甜味道很足，趁活动买了好几个，秋季最适合吃这个了,5,2023-10-18 21:09:44
肉很少,3,2023-09-18 15:15:14
品相非常完美，口感好，发快递也是发京东快递，发货速度快，相信京东的选品，其他快递都不送货上门只有京东快递一直坚持给它点赞，会推荐朋友购买的，皮也很薄,5,2023-10-17 10:54:13
价格便宜实惠发货速度很快物流很快推荐购买味道也不错包装很好个大味美还配了开柚器分量足很新鲜京东送货也很不错赞一个,5,2023-10-16 12:32:17
好吃，东西质量不错不错,5,2023-11-09 19:31:54
很甜，不踩雷，推荐,5,2023-11-09 19:29:24
超级好，希望优惠多多！,5,2023-11-09 19:27:11
口感不太好，酸，没有水分，特别特别特别好，没有任何破损的地方，外观也好看，好评！第一次在网上购买，也是看评价才买的，质量还不错，也很便宜，有需要的朋友可放心购买,5,2023-11-09 19:24:52
很好吃，皮不算厚，性价比非常高，活动的时候大概、块钱一个，比水果店便宜一些，但是质量就好了不少，柚子也耐放，越是吃到后面越甜，满意！,5,2023-11-09 19:21:28
柚子个头挺大的，皮很薄，柚子的水分足，甜度刚刚好，经常买的，品质是有保证的，京东自营购买方便快捷，直接送货到家，价格也是很优惠,5,2023-11-09 19:20:43
老好吃了，太绝了,5,2023-11-09 19:19:32
好，好吃，好吃～～～～～～,5,2023-11-09 19:16:33
秒杀买的，东西不错，价格实惠，物流也很快,5,2023-11-09 19:15:27
京东真的太好了吧买的东西的质量都超级好很喜欢物美价廉给力啊无限免邮简直爱了啊客服也很好售后做的很好快递小哥也很好简直无可挑剔啊大爱京东大爱绝绝子啊喜欢京东喜欢京东购物真的很开心啊就喜欢这种开心的购物以后还要一直买买买买买买啊哈哈哈哈哈哈哈哈哈哈,5,2023-11-09 19:14:33
红柚有一半是白色的，没水分不甜，品质不佳，还不如直接吃白柚,5,2023-11-09 19:11:10
柚子肉很多呀，皮也薄,5,2023-11-09 18:53:44
好吃，纯甜，汁水多,5,2023-11-09 18:47:31
柚子超甜，喜欢,5,2023-11-09 18:44:55
总体品质还是不错的，支持回购。,5,2023-11-09 18:34:26
大小有点小，也不是很红，好在不酸,5,2023-11-09 18:15:53
吃完了想起来还没评价，只好偷个图来表示诚意，柚子水份足足，超级甜甜又感觉有点点酸味道，反正就是好吃的，个也大皮还很薄很薄。值得再购买,5,2023-11-09 18:12:33
好吃，个头也大，皮薄,5,2023-11-09 17:55:51
不错，挺好吃的，水分很足，又买了两箱,5,2023-11-09 17:15:44
太酸了，而且稍微有点干,1,2023-11-09 17:06:58
刚收到货就打开一个，香甜可口，太好吃了。这个果子汁水也多，果肉饱满，皮薄，一箱子都很新鲜，没有坏果，个头都很大，包装完好无损，切了一个最大的尝尝，鲜嫩多汁，简直太美味了呢，重要的是很新鲜分很足，个头很大很均匀。出乎预料的好,5,2023-10-15 09:53:15
柚子比想象中的好，个柚子，大小，皮非常薄，用手就可以轻松剥出来，我剥的是最小的一个，因为皮薄，剥开还是很大一个，果肉细腻微甜，汁水丰富，不酸，口感非常好，吃完还会继续回购。,5,2023-10-12 08:44:47
个头挺大，摸着皮也很薄，看起来挺新鲜，这几天的不知道甜不甜，价格挺实惠，我们这边超市卖一斤，挺贵，京东买下来更划算,5,2023-10-11 12:38:21
东西质量非常好，与卖家描述的完全一致，非常满意真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物ﾟﾟ）,5,2023-10-31 11:04:28
件商品的包装非常精美，是送礼的好选择。．这件商品的使用方法非常简单，非常方便。．这件商品的配件非常齐全，使用起来非常方便。．这件商品的性价比非常高，非常值得购买。．这件商品的售后服务非常好，让我非常满意。．这件商品的送货速度非常快，让我非常惊喜。．这件商品的质量非常稳定，一直都很好。．这件商品的功能非常强大，非常实用。．这件商品的材质非常好，非常耐用。．这件商品的颜色非常漂亮，非常符合我的喜好。．这件商品的尺码非常准确，非常合适。．这件商品的重量非常轻，非常方便携带。．这件商品的使用效果非常好，非常满意。．这件商品的性能非常稳定，非常可靠。．这件商品的品质非常好，非常值得信赖。．这件商品的外观非常精致，非常高档。,5,2023-10-23 16:30:00
快递物流非常快，包装很不错，看着很有质感，重量也对，皮薄肉多，鲜美多汁，味道不错就是没有那么甜有点酸。总体还是非常不错的,5,2023-11-08 22:48:50
红心柚子收到了，包装的挺好呀！表皮光滑，闻着很好吃的剥开皮薄肉多，皮薄水分多，越吃越好吃，看着就特别有食欲，一口咬下去满满的汁水，香味特别浓郁，很不错。很饱满，皮也很薄，一口下去，水分很多，水份多多！还会在来光顾的，想吃柚子亲不要在犹豫了快快下手,5,2023-11-08 22:39:15
这个柚子非常好，买了两次了，只有一个皮厚还酸的，总的还是挺好的，还会继续回购的，店家多搞些优惠活动哦，今年买柚子就选你家里的,5,2023-11-08 20:08:02
双搞活动，价格非常划算，京东生鲜水果质量也非常好，足斤足两，剥开了一个吃，很美味，正宗柚子味，快递送过来也没有任何损坏，推荐,5,2023-11-08 18:55:40
忍不住评论一下，果型外观漂亮，很重手，产地顺丰直发，速度很快。刚开了一个，果肉红润，水分很足，酸酸甜甜，口感极好！！太好吃了！！！,5,2023-11-08 13:22:43
蜜柚真是个好东西，甜甜的，口感超级棒！,5,2023-11-09 15:36:38
这个价格仍然很划算。经济、便宜、质量非常好，与卖方描述的完全一样。非常满意，完全出乎意料，超划算，划算，购物比实体店便宜多了，非常满意网上购物。我希望卖家的生意会越来越红火，物流会越来越快，包装会越来越结实。六星表扬，多一星不怕你骄傲，犹豫不决的朋友会很快下单，这是良心的推荐。它真的很好，而且价格也很高，所以你将来可以在这里买。给三个好评就满足了！满意了！满意了,5,2023-11-09 15:31:06
第一次买的个柚子很好吃，第二次回购买的都是坏果，里面干巴没水份，找客服没人理，京东购物多年，首次差评，不敢在这里买水果了,1,2023-11-09 15:28:09
价格实惠，有个，皮薄肉多。京东做活动就是凑单麻烦，送货很快，包装扎实。下次有活动再买，柚子可以放很久。肉很厚，汁水很多。,5,2023-11-09 15:27:01
皮薄肉厚，很好吃，柚子很大,5,2023-11-09 15:06:24
还是中秋节的时候买来送爸爸妈妈吃的，味道不错，他们说好吃，水分很足，那个时候吃还很香甜呢，不是很冷，吃起来很舒服，价格优惠,5,2023-11-09 15:00:02
